AI_TRUST_LEVEL,AI_TRUST_ORDER,AI_TASK,AI_TASK_STATUS,AI_TASK_STATUS_ORDER,RESPONDENT_COUNT,TRUST_GROUP_RESPONDENT_COUNT,TRUST_TASK_RESPONDENT_COUNT,RESPONDENT_SHARE_WITHIN_TRUST,RESPONDENT_SHARE_WITHIN_TRUST_TASK
Highly distrust,5,Learning new concepts or technologies,Currently mostly AI,1,188,6246,6178,0.0301,0.0304
Somewhat distrust,4,Learning about a codebase,Plan to mostly use AI,3,601,8133,7941,0.0739,0.0757
Highly trust,1,Project planning,Plan to mostly use AI,3,116,946,863,0.1226,0.1344
Neither trust nor distrust,3,Other,Do not plan to use AI,5,361,6490,621,0.0556,0.5813
Highly trust,1,Creating or maintaining documentation,Do not plan to use AI,5,109,946,878,0.1152,0.1241
Highly trust,1,Documenting code,Do not plan to use AI,5,97,946,891,0.1025,0.1089
Somewhat distrust,4,Testing code,Plan to partially use AI,4,2410,8133,7951,0.2963,0.3031
Highly trust,1,Testing code,Currently mostly AI,1,284,946,872,0.3002,0.3257
Somewhat distrust,4,Documenting code,Currently mostly AI,1,469,8133,7962,0.0577,0.0589
Highly distrust,5,Search for answers,Currently mostly AI,1,331,6246,6191,0.053,0.0535
Highly distrust,5,Deployment and monitoring,Currently partially AI,2,126,6246,6148,0.0202,0.0205
Highly trust,1,Writing code,Do not plan to use AI,5,40,946,906,0.0423,0.0442
Highly distrust,5,Creating or maintaining documentation,Currently mostly AI,1,150,6246,6174,0.024,0.0243
Highly distrust,5,Testing code,Plan to mostly use AI,3,208,6246,6181,0.0333,0.0337
Somewhat trust,2,Other,Currently partially AI,2,148,9140,722,0.0162,0.205
Somewhat trust,2,Other,Plan to mostly use AI,3,86,9140,722,0.0094,0.1191
Highly trust,1,Debugging or fixing code,Plan to mostly use AI,3,95,946,886,0.1004,0.1072
Highly distrust,5,Project planning,Currently mostly AI,1,45,6246,6155,0.0072,0.0073
Somewhat trust,2,Learning new concepts or technologies,Plan to mostly use AI,3,866,9140,8800,0.0947,0.0984
Highly distrust,5,Search for answers,Do not plan to use AI,5,2816,6246,6191,0.4508,0.4549
Highly trust,1,Learning new concepts or technologies,Currently mostly AI,1,431,946,883,0.4556,0.4881
Somewhat distrust,4,Other,Do not plan to use AI,5,727,8133,936,0.0894,0.7767
Somewhat trust,2,Creating or maintaining documentation,Plan to mostly use AI,3,1598,9140,8694,0.1748,0.1838
Somewhat trust,2,Writing code,Plan to partially use AI,4,1776,9140,8961,0.1943,0.1982
Highly distrust,5,Writing code,Plan to partially use AI,4,1121,6246,6198,0.1795,0.1809
Highly distrust,5,Writing code,Currently partially AI,2,1174,6246,6198,0.188,0.1894
Somewhat trust,2,Generating content or synthetic data,Plan to partially use AI,4,1637,9140,8623,0.1791,0.1898
Neither trust nor distrust,3,Creating or maintaining documentation,Plan to partially use AI,4,1629,6490,6247,0.251,0.2608
Somewhat distrust,4,Deployment and monitoring,Plan to partially use AI,4,1425,8133,7850,0.1752,0.1815
Somewhat trust,2,Creating or maintaining documentation,Plan to partially use AI,4,1948,9140,8694,0.2131,0.2241
Somewhat trust,2,Documenting code,Do not plan to use AI,5,1469,9140,8752,0.1607,0.1678
Highly distrust,5,Documenting code,Do not plan to use AI,5,3897,6246,6179,0.6239,0.6307
Somewhat distrust,4,Learning new concepts or technologies,Do not plan to use AI,5,2398,8133,7971,0.2948,0.3008
Highly trust,1,Debugging or fixing code,Do not plan to use AI,5,54,946,886,0.0571,0.0609
Highly distrust,5,Documenting code,Currently partially AI,2,605,6246,6179,0.0969,0.0979
Highly trust,1,Documenting code,Currently partially AI,2,186,946,891,0.1966,0.2088
Highly distrust,5,Other,Currently partially AI,2,47,6246,1658,0.0075,0.0283
Highly distrust,5,Debugging or fixing code,Plan to mostly use AI,3,86,6246,6188,0.0138,0.0139
Neither trust nor distrust,3,Learning about a codebase,Do not plan to use AI,5,1517,6490,6272,0.2337,0.2419
Highly trust,1,Search for answers,Plan to mostly use AI,3,76,946,886,0.0803,0.0858
Somewhat distrust,4,Predictive analytics,Currently partially AI,2,433,8133,7695,0.0532,0.0563
Highly distrust,5,Generating content or synthetic data,Plan to mostly use AI,3,373,6246,6146,0.0597,0.0607
Somewhat distrust,4,Committing and reviewing code,Currently partially AI,2,973,8133,7914,0.1196,0.1229
Highly distrust,5,Project planning,Currently partially AI,2,252,6246,6155,0.0403,0.0409
Highly distrust,5,Learning about a codebase,Currently mostly AI,1,106,6246,6165,0.017,0.0172
Highly distrust,5,Project planning,Plan to partially use AI,4,557,6246,6155,0.0892,0.0905
Highly distrust,5,Learning new concepts or technologies,Plan to mostly use AI,3,139,6246,6178,0.0223,0.0225
Highly trust,1,Writing code,Plan to partially use AI,4,86,946,906,0.0909,0.0949
Highly trust,1,Search for answers,Currently partially AI,2,179,946,886,0.1892,0.202
Neither trust nor distrust,3,Other,Currently mostly AI,1,47,6490,621,0.0072,0.0757
Highly distrust,5,Learning about a codebase,Plan to mostly use AI,3,210,6246,6165,0.0336,0.0341
Highly trust,1,Creating or maintaining documentation,Plan to partially use AI,4,106,946,878,0.1121,0.1207
Highly trust,1,Creating or maintaining documentation,Plan to mostly use AI,3,163,946,878,0.1723,0.1856
Highly trust,1,Search for answers,Do not plan to use AI,5,39,946,886,0.0412,0.044
Highly trust,1,Deployment and monitoring,Plan to partially use AI,4,157,946,863,0.166,0.1819
Highly distrust,5,Writing code,Currently mostly AI,1,52,6246,6198,0.0083,0.0084
Somewhat distrust,4,Search for answers,Plan to partially use AI,4,1914,8133,7999,0.2353,0.2393
Highly trust,1,Predictive analytics,Do not plan to use AI,5,188,946,855,0.1987,0.2199
Somewhat distrust,4,Search for answers,Do not plan to use AI,5,1276,8133,7999,0.1569,0.1595
Highly distrust,5,Project planning,Plan to mostly use AI,3,77,6246,6155,0.0123,0.0125
Somewhat distrust,4,Learning new concepts or technologies,Currently mostly AI,1,513,8133,7971,0.0631,0.0644
Somewhat trust,2,Testing code,Do not plan to use AI,5,1846,9140,8767,0.202,0.2106
Somewhat distrust,4,Learning about a codebase,Currently mostly AI,1,261,8133,7941,0.0321,0.0329
Highly trust,1,Search for answers,Plan to partially use AI,4,52,946,886,0.055,0.0587
Highly trust,1,Other,Plan to mostly use AI,3,39,946,227,0.0412,0.1718
Highly distrust,5,Writing code,Plan to mostly use AI,3,67,6246,6198,0.0107,0.0108
